phylip_id,full_id
ID000001,G000445105
ID000002,G000998935
ID000003,G000504165
ID000004,G001443675
ID000005,G001780645
ID000006,G001720395
ID000007,G000334955
ID000008,G000989435
ID000009,G000188155
ID000010,G000012725
ID000011,G900102125
ID000012,G001610875
ID000013,G001432305
ID000014,G002011535
ID000015,G001293545
ID000016,G000436935
ID000017,G000620645
ID000018,G001280505
ID000019,G000477955
ID000020,G000017265
ID000021,G001469895
ID000022,G900110905
ID000023,G001786355
ID000024,G000007705
ID000025,G000012485
ID000026,G001803785
ID000027,G001995095
ID000028,G000177235
ID000029,G000701305
ID000030,G001775785
ID000031,G001708975
ID000032,G900130035
ID000033,G001787315
ID000034,G000245175
ID000035,G000319385
ID000036,G900101015
ID000037,G001512375
ID000038,G000993875
ID000039,G000173655
ID000040,G001916215
ID000041,G900089075
ID000042,G000379665
ID000043,G001574555
ID000044,G001870225
ID000045,G000312365
ID000046,G001801635
ID000047,G000830925
ID000048,G000248095
ID000049,G000599865
ID000050,G000745975
ID000051,G000228205
ID000052,G000981645
ID000053,G000309585
ID000054,G000423645
ID000055,G000724145
ID000056,G000425585
ID000057,G001499755
ID000058,G000970125
ID000059,G001821725
ID000060,G000376225
ID000061,G000377885
ID000062,G000286115
ID000063,G001779235
ID000064,G000026125
ID000065,G000018785
ID000066,G001458535
ID000067,G000007845
ID000068,G000023065
ID000069,G000526315
ID000070,G001789115
ID000071,G000008545
ID000072,G000224765
ID000073,G000298475
ID000074,G000294515
ID000075,G000156175
ID000076,G000020785
ID000077,G001312505
ID000078,G000247605
ID000079,G001782685
ID000080,G000218895
ID000081,G000722915
ID000082,G001793005
ID000083,G000195275
ID000084,G001005215
ID000085,G900097105
ID000086,G001822765
ID000087,G001469845
ID000088,G000338775
ID000089,G001822215
ID000090,G000283915
ID000091,G900094975
ID000092,G001708185
ID000093,G000738435
ID000094,G001508115
ID000095,G001562125
ID000096,G000712035
ID000097,G001790445
ID000098,G000179395
ID000099,G001773735
ID000100,G001830015
ID000101,G001625015
ID000102,G001508895
ID000103,G001000025
ID000104,G001924935
ID000105,G900107845
ID000106,G000635715
ID000107,G000832305
ID000108,G001603165
ID000109,G001632145
ID000110,G001792495
ID000111,G000998105
ID000112,G900115845
ID000113,G001044505
ID000114,G000437435
ID000115,G001190755
ID000116,G000145255
ID000117,G000225525
ID000118,G001280515
ID000119,G001909285
ID000120,G001829155
ID000121,G001779145
ID000122,G000967305
ID000123,G900104395
ID000124,G001785275
ID000125,G001305655
ID000126,G000991295
ID000127,G000733775
ID000128,G000829435
ID000129,G000817295
ID000130,G001562155
ID000131,G001940755
ID000132,G001039615
ID000133,G001795015
ID000134,G001804315
ID000135,G000648175
ID000136,G001800985
ID000137,G000436215
ID000138,G001784285
ID000139,G001570425
ID000140,G000437335
ID000141,G001794055
ID000142,G002007645
ID000143,G000319245
ID000144,G900119765
ID000145,G002006995
ID000146,G001644275
ID000147,G001617605
ID000148,G000307245
ID000149,G001682385
ID000150,G000247715
ID000151,G900115215
ID000152,G001771345
ID000153,G000970025
ID000154,G001889965
ID000155,G001819635
ID000156,G001427385
ID000157,G000768065
ID000158,G000979995
ID000159,G001263205
ID000160,G001437355
ID000161,G001789365
ID000162,G001486165
ID000163,G000382265
ID000164,G000219045
ID000165,G000759655
ID000166,G001803525
ID000167,G000229145
ID000168,G000830985
ID000169,G001431485
ID000170,G001560635
ID000171,G001918475
ID000172,G000996165
ID000173,G001870905
ID000174,G001806105
ID000175,G001192655
ID000176,G000237805
ID000177,G001422605
ID000178,G000245075
ID000179,G000184685
ID000180,G000192965
ID000181,G001888885
ID000182,G000414465
ID000183,G001488575
ID000184,G000300115
ID000185,G000429045
ID000186,G001787615
ID000187,G000433035
ID000188,G000317125
ID000189,G000992925
ID000190,G001696485
ID000191,G001818855
ID000192,G000518105
ID000193,G900129845
ID000194,G001795365
ID000195,G000213975
ID000196,G000344805
ID000197,G000426565
ID000198,G000429865
ID000199,G000010585
ID000200,G900107575
ID000201,G000376445
ID000202,G900113925
ID000203,G000719275
ID000204,G000511875
ID000205,G001820475
ID000206,G001424305
ID000207,G000455825
ID000208,G001825445
ID000209,G000348805
ID000210,G001780635
ID000211,G000300855
ID000212,G000497755
ID000213,G000684975
ID000214,G001969465
ID000215,G000576595
ID000216,G000492175
ID000217,G001308105
ID000218,G001780145
ID000219,G002002665
ID000220,G900129715
ID000221,G000733515
ID000222,G000384955
ID000223,G001182045
ID000224,G000252485
ID000225,G000741785
ID000226,G000444645
ID000227,G000405625
ID000228,G000513735
ID000229,G000006865
ID000230,G000757865
ID000231,G000317085
ID000232,G900128755
ID000233,G000173975
ID000234,G000990275
ID000235,G001423045
ID000236,G000424365
ID000237,G000178835
ID000238,G000417585
ID000239,G001484985
ID000240,G000717475
ID000241,G001412105
ID000242,G000012965
ID000243,G001307035
ID000244,G001788915
ID000245,G000424205
ID000246,G000745125
ID000247,G001298265
ID000248,G001624625
ID000249,G000382125
ID000250,G000220235
ID000251,G000336655
ID000252,G001865655
ID000253,G000504245
ID000254,G001438695
ID000255,G000196275
ID000256,G001183545
ID000257,G001292625
ID000258,G000768695
ID000259,G000021025
ID000260,G900112605
ID000261,G000014505
ID000262,G001438125
ID000263,G001816645
ID000264,G000214595
ID000265,G001795155
ID000266,G001676225
ID000267,G000165465
ID000268,G001438045
ID000269,G000416085
ID000270,G000014465
ID000271,G000241345
ID000272,G000450985
ID000273,G001468855
ID000274,G000711975
ID000275,G001820095
ID000276,G001795545
ID000277,G001772335
ID000278,G001822655
ID000279,G000220585
ID000280,G900116265
ID000281,G000380725
ID000282,G000469445
ID000283,G000230555
ID000284,G000990125
ID000285,G000717335
ID000286,G000688415
ID000287,G000405945
ID000288,G001798315
ID000289,G000024605
ID000290,G001315985
ID000291,G000382085
ID000292,G001791655
ID000293,G000993015
ID000294,G001796675
ID000295,G000423405
ID000296,G001824435
ID000297,G000382245
ID000298,G000210055
ID000299,G001717035
ID000300,G001742785
ID000301,G001403775
ID000302,G000970775
ID000303,G000430525
ID000304,G000300695
ID000305,G000220545
ID000306,G001025035
ID000307,G001447335
ID000308,G000445145
ID000309,G001594145
ID000310,G001918525
ID000311,G001772695
ID000312,G000172095
ID000313,G001282785
ID000314,G001042525
ID000315,G001812395
ID000316,G001426485
ID000317,G000163775
ID000318,G001796315
ID000319,G000702885
ID000320,G000008665
ID000321,G001316245
ID000322,G000092565
ID000323,G000997505
ID000324,G000506865
ID000325,G001818445
ID000326,G000786005
ID000327,G001783255
ID000328,G001000475
ID000329,G000011645
ID000330,G001869295
ID000331,G000292245
ID000332,G001772535
ID000333,G000990055
ID000334,G000741765
ID000335,G000797445
ID000336,G900116115
ID000337,G001548375
ID000338,G000336915
ID000339,G001830135
ID000340,G900111915
ID000341,G001779925
ID000342,G000428145
ID000343,G000436435
ID000344,G001438725
ID000345,G000407165
ID000346,G000471965
ID000347,G000487995
ID000348,G001898495
ID000349,G001656285
ID000350,G001983935
ID000351,G001769705
ID000352,G001793865
ID000353,G001049895
ID000354,G001012675
ID000355,G000245655
ID000356,G000519205
ID000357,G001894865
ID000358,G000429305
ID000359,G001000675
ID000360,G000990725
ID000361,G001424905
ID000362,G001521855
ID000363,G000231275
ID000364,G000379225
ID000365,G000768875
ID000366,G001995005
ID000367,G000219275
ID000368,G000398025
ID000369,G000224335
ID000370,G001785545
ID000371,G000482805
ID000372,G000153065
ID000373,G000993365
ID000374,G000006925
ID000375,G000007385
ID000376,G001872265
ID000377,G000013125
ID000378,G000744255
ID000379,G001969385
ID000380,G000508965
ID000381,G000691865
ID000382,G001776455
ID000383,G000297775
ID000384,G001779955
ID000385,G000242835
ID000386,G900114835
ID000387,G000733585
ID000388,G001424585
ID000389,G000192925
ID000390,G001776535
ID000391,G001817505
ID000392,G000282595
ID000393,G001606005
ID000394,G001821935
ID000395,G001920395
ID000396,G000695975
ID000397,G000767275
ID000398,G001187595
ID000399,G000014765
ID000400,G001649505
ID000401,G000435575
ID000402,G000525955
ID000403,G000011185
ID000404,G001775565
ID000405,G000401175
ID000406,G000337475
ID000407,G000714715
ID000408,G001429705
ID000409,G001830805
ID000410,G001278705
ID000411,G000990965
ID000412,G000179775
ID000413,G000422425
ID000414,G002007565
ID000415,G000406785
ID000416,G900112935
ID000417,G000093025
ID000418,G000697965
ID000419,G001313205
ID000420,G900106765
ID000421,G900110675
ID000422,G000168295
ID000423,G000969905
ID000424,G001458075
ID000425,G001302685
ID000426,G000430745
ID000427,G001438805
ID000428,G000404225
ID000429,G001774335
ID000430,G000744875
ID000431,G001278075
ID000432,G000017045
ID000433,G001796415
ID000434,G001007625
ID000435,G001559035
ID000436,G001767605
ID000437,G000740805
ID000438,G001824325
ID000439,G001042635
ID000440,G000153405
ID000441,G000337675
ID000442,G000186205
ID000443,G000230655
ID000444,G000204255
ID000445,G001512545
ID000446,G900142495
ID000447,G000226625
ID000448,G000430585
ID000449,G001756595
ID000450,G001513065
ID000451,G000591415
ID000452,G001437845
ID000453,G900115085
ID000454,G001791035
ID000455,G000235885
ID000456,G001420915
ID000457,G001875345
ID000458,G900100715
ID000459,G001774495
ID000460,G001629235
ID000461,G900089455
ID000462,G001074355
ID000463,G001824485
ID000464,G000980755
ID000465,G001553285
ID000466,G000501615
ID000467,G000762875
ID000468,G000689195
ID000469,G001469535
ID000470,G001918745
ID000471,G000377645
ID000472,G000161935
ID000473,G001563795
ID000474,G000024925
ID000475,G001421015
ID000476,G000934435
ID000477,G001778655
ID000478,G000018945
ID000479,G000444565
ID000480,G000751675
ID000481,G001568365
ID000482,G900101965
ID000483,G000428865
ID000484,G001582555
ID000485,G001001285
ID000486,G000998865
ID000487,G002003465
ID000488,G002018045
ID000489,G001769835
ID000490,G900129805
ID000491,G000147675
ID000492,G001751165
ID000493,G001418495
ID000494,G000318295
ID000495,G000484595
ID000496,G000191145
ID000497,G001869395
ID000498,G000312545
ID000499,G001508335
ID000500,G000686845
